Location,Month,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Month 11,LSTM,0.35118717,0.5499199,0.2311076,0.4489753,0.03351117,0.07912451,0.59008527,0.23753971,65.87201140828006,Poor,Low,Low,High
TANAUAN,Month 11,CNN-LSTM,0.35048574,0.5445583,0.2549123,0.37738472,0.03659652,0.095804475,0.54039276,0.25902075,65.87225803529027,Poor,Low,Low,High
TANAUAN,Month 12,CNN,0.280021,0.53552747,0.20326117,0.43100876,0.04804367,0.04582981,0.5287689,0.25708583,65.87151911873885,Poor,Low,Low,High
TANAUAN,Month 12,LSTM,0.35118717,0.5499199,0.2311076,0.4489753,0.03351117,0.07912451,0.59008527,0.23753971,65.87201140828006,Poor,Low,Low,High
TANAUAN,Month 12,CNN-LSTM,0.35048574,0.5445583,0.2549123,0.37738472,0.03659652,0.095804475,0.54039276,0.25902075,65.87225803529027,Poor,Low,Low,High
MATAAS NA KAHOY,Month 1,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 1,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 1,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 2,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 2,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 2,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 3,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 3,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 3,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 4,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 4,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 4,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 5,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 5,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 5,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 6,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 6,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 6,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 7,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 7,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 7,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 8,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 8,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 8,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 9,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 9,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 9,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 10,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 10,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 10,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 11,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 11,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 11,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
MATAAS NA KAHOY,Month 12,CNN,0.25100955,0.5519091,0.24967039,0.6174706,0.030784108,0.082159206,0.63378346,0.28209096,65.87205627875798,Poor,Low,Low,High
MATAAS NA KAHOY,Month 12,LSTM,0.3056893,0.5392808,0.2345421,0.6562805,0.016445847,0.09216045,0.6099596,0.26512632,65.8722041553816,Poor,Low,Low,High
MATAAS NA KAHOY,Month 12,CNN-LSTM,0.3202414,0.5386747,0.2452986,0.74885565,0.0071223974,0.097841665,0.63201016,0.34159267,65.87228815682104,Poor,Low,Low,High
SAN NICOLAS,Month 1,CNN,0.4107597,0.5988354,0.31746063,0.8041321,0.010345331,0.08531468,0.6138295,0.46652785,65.87210293503804,Poor,Low,Low,High
SAN NICOLAS,Month 1,LSTM,0.43950224,0.57267034,0.28889212,0.7788041,0.02229782,0.07710679,0.6356197,0.43170753,65.87198157462926,Poor,Low,Low,High
SAN NICOLAS,Month 1,CNN-LSTM,0.43102765,0.5898827,0.29497162,0.7802883,0.011161312,0.093695514,0.62541795,0.4455776,65.8722268525662,Poor,Low,Low,High
SAN NICOLAS,Month 2,CNN,0.4107597,0.5988354,0.31746063,0.8041321,0.010345331,0.08531468,0.6138295,0.46652785,65.87210293503804,Poor,Low,Low,High
SAN NICOLAS,Month 2,LSTM,0.43950224,0.57267034,0.28889212,0.7788041,0.02229782,0.07710679,0.6356197,0.43170753,65.87198157462926,Poor,Low,Low,High
SAN NICOLAS,Month 2,CNN-LSTM,0.43102765,0.5898827,0.29497162,0.7802883,0.011161312,0.093695514,0.62541795,0.4455776,65.8722268525662,Poor,Low,Low,High
SAN NICOLAS,Month 3,CNN,0.4107597,0.5988354,0.31746063,0.8041321,0.010345331,0.08531468,0.6138295,0.46652785,65.87210293503804,Poor,Low,Low,High
SAN NICOLAS,Month 3,LSTM,0.43950224,0.57267034,0.28889212,0.7788041,0.02229782,0.07710679,0.6356197,0.43170753,65.87198157462926,Poor,Low,Low,High
SAN NICOLAS,Month 3,CNN-LSTM,0.43102765,0.5898827,0.29497162,0.7802883,0.011161312,0.093695514,0.62541795,0.4455776,65.8722268525662,Poor,Low,Low,High
SAN NICOLAS,Month 4,CNN,0.4107597,0.5988354,0.31746063,0.8041321,0.010345331,0.08531468,0.6138295,0.46652785,65.87210293503804,Poor,Low,Low,High
SAN NICOLAS,Month 4,LSTM,0.43950224,0.57267034,0.28889212,0.7788041,0.02229782,0.07710679,0.6356197,0.43170753,65.87198157462926,Poor,Low,Low,High
SAN NICOLAS,Month 4,CNN-LSTM,0.43102765,0.5898827,0.29497162,0.7802883,0.011161312,0.093695514,0.62541795,0.4455776,65.8722268525662,Poor,Low,Low,High
SAN NICOLAS,Month 5,CNN,0.4107597,0.5988354,0.31746063,0.8041321,0.010345331,0.08531468,0.6138295,0.46652785,65.87210293503804,Poor,Low,Low,High
SAN NICOLAS,Month 5,LSTM,0.43950224,0.57267034,0.28889212,0.7788041,0.02229782,0.07710679,0.6356197,0.43170753,65.87198157462926,Poor,Low,Low,High
