Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
SAMPALOC,Year 2,LSTM,0.39055693,0.5725249,0.26308647,0.3604226,0.042173408,0.07344606,0.53248054,0.23907772,73.17511940388405,Poor,Low,Low,High
SAMPALOC,Year 2,CNN-LSTM,0.4039314,0.57960284,0.26683384,0.37608802,0.012121689,0.10158378,0.52678967,0.24837981,73.17558156933333,Poor,Low,Low,High
SAMPALOC,Year 3,CNN,0.42438695,0.58390266,0.33236477,0.45314014,0.06247491,0.11219489,0.46618137,0.20893592,67.55157065157488,Poor,Low,Low,Moderate
SAMPALOC,Year 3,LSTM,0.3955016,0.58308417,0.2823147,0.37949425,0.042790085,0.08012528,0.5472855,0.24150562,73.17522911087923,Poor,Low,Low,High
SAMPALOC,Year 3,CNN-LSTM,0.41741443,0.5919165,0.2739943,0.38548997,0.015863054,0.10675642,0.51818913,0.23369683,73.17566653057004,Poor,Low,Low,High
BERINAYAN,Year 1,CNN,0.41165197,0.6019846,0.33451056,0.76405966,0.043861233,0.11180136,0.6417384,0.24153008,73.17574939431884,Poor,Low,Low,High
BERINAYAN,Year 1,LSTM,0.4303811,0.60517144,0.3051795,0.74080133,0.021679955,0.08964491,0.65174353,0.274914,73.17538547195169,Poor,Low,Low,High
BERINAYAN,Year 1,CNN-LSTM,0.4301643,0.60844994,0.29370618,0.73775953,0.0024817158,0.10893494,0.60516137,0.29760444,73.17570231302415,Poor,Low,Low,High
BERINAYAN,Year 2,CNN,0.42827302,0.5992343,0.3275521,0.74322724,0.00887446,0.108849734,0.63226205,0.2931043,73.17570091350531,Poor,Low,Low,High
BERINAYAN,Year 2,LSTM,0.4287244,0.6093026,0.30823883,0.74547535,0.026827635,0.087087005,0.6535332,0.28022406,73.17534345805313,Poor,Low,Low,High
BERINAYAN,Year 2,CNN-LSTM,0.41382897,0.60544366,0.3049691,0.74591374,0.0034384765,0.11182114,0.6189939,0.27889073,73.17574971920773,Poor,Low,Low,High
BERINAYAN,Year 3,CNN,0.3944375,0.6288358,0.34920081,0.7459505,0.0105787935,0.1145682,0.65527606,0.2719977,73.17579484,Poor,Low,Low,High
BERINAYAN,Year 3,LSTM,0.4234115,0.6088009,0.31924117,0.74829555,0.02518064,0.08534964,0.6516634,0.28293237,73.17531492162318,Poor,Low,Low,High
BERINAYAN,Year 3,CNN-LSTM,0.40582886,0.6081255,0.32175055,0.7730451,0.0065449253,0.10278438,0.63966775,0.29273984,73.17560128933333,Poor,Low,Low,High
BALAKILONG,Year 1,CNN,0.54366285,0.7206227,0.56005836,0.8265499,0.021468911,0.06052147,0.65205216,0.3772205,73.17490711593237,Poor,Low,Low,High
BALAKILONG,Year 1,LSTM,0.47631323,0.7187307,0.51755595,0.819979,0.025954166,0.07451062,0.6356641,0.39278585,73.17513688941062,Poor,Low,Low,High
BALAKILONG,Year 1,CNN-LSTM,0.4903548,0.7119478,0.48601907,0.8684996,0.0053392574,0.09369972,0.6180879,0.41029027,73.17545207269565,Poor,Low,Low,High
