Location,Week,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Week 12,CNN-LSTM,0.25687146,0.50120693,0.19050118,0.42937455,0.012560104,0.085207164,0.54893404,0.21237656,73.17531258143768,Poor,Low,Low,High
TANAUAN,Week 13,CNN,0.29182193,0.4705522,0.17726801,0.4172108,0.0058523123,0.12100829,0.56510466,0.21846393,73.17590061925604,Poor,Low,Low,High
TANAUAN,Week 13,LSTM,0.28609297,0.5279959,0.19004239,0.47865143,0.018665805,0.09900009,0.5850089,0.22665027,73.17553913191304,Poor,Low,Low,High
TANAUAN,Week 13,CNN-LSTM,0.2720658,0.51250714,0.18806028,0.425449,0.016059333,0.08553585,0.5537027,0.21875995,73.17531798014492,Poor,Low,Low,High
TANAUAN,Week 14,CNN,0.30365977,0.47936803,0.1826273,0.42723998,-0.0013203509,0.11988527,0.57704294,0.2056592,73.17588217351691,Poor,Low,Low,High
TANAUAN,Week 14,LSTM,0.28694758,0.5276333,0.18713991,0.477626,0.01916584,0.09944181,0.5872204,0.22898218,73.1755463872174,Poor,Low,Low,High
TANAUAN,Week 14,CNN-LSTM,0.2733681,0.5060221,0.18075839,0.4255163,0.01795156,0.0879161,0.5502902,0.22204512,73.17535707603865,Poor,Low,Low,High
TANAUAN,Week 15,CNN,0.29800525,0.49577782,0.19096723,0.43478593,0.006920724,0.13008314,0.5857797,0.20382151,73.17604967476328,Poor,Low,Low,High
TANAUAN,Week 15,LSTM,0.2932454,0.5286128,0.18554305,0.47853687,0.019067047,0.09988589,0.588676,0.22896338,73.17555368128502,Poor,Low,Low,High
TANAUAN,Week 15,CNN-LSTM,0.27983567,0.5082342,0.18250613,0.42554644,0.018678764,0.08742445,0.5480841,0.22205359,73.17534900062802,Poor,Low,Low,High
TANAUAN,Week 16,CNN,0.30861562,0.49913162,0.20278762,0.43913287,0.014123205,0.11866527,0.5930247,0.20729381,73.17586213486956,Poor,Low,Low,High
TANAUAN,Week 16,LSTM,0.29962757,0.5290067,0.1860541,0.4814077,0.01919419,0.10028279,0.5901734,0.22820246,73.17556020041546,Poor,Low,Low,High
TANAUAN,Week 16,CNN-LSTM,0.2865969,0.5067286,0.1800115,0.428472,0.019434258,0.0874609,0.54732525,0.22198153,73.17534959932367,Poor,Low,Low,High
TANAUAN,Week 17,CNN,0.31317705,0.48917335,0.20035051,0.42619506,0.0072896215,0.118266374,0.6046463,0.20240402,73.17585558295458,Poor,Low,Low,High
TANAUAN,Week 17,LSTM,0.30680233,0.5326346,0.18814151,0.48441276,0.018810872,0.100014344,0.592117,0.22985786,73.17555579115749,Poor,Low,Low,High
TANAUAN,Week 17,CNN-LSTM,0.2951816,0.5140877,0.18260318,0.430051,0.020125631,0.08637725,0.54942816,0.22321612,73.17533180024155,Poor,Low,Low,High
TANAUAN,Week 18,CNN,0.31741002,0.4829603,0.18101837,0.42780748,0.009353479,0.1165868,0.6001959,0.19573095,73.17582799574879,Poor,Low,Low,High
TANAUAN,Week 18,LSTM,0.31111956,0.53552216,0.18912905,0.48427755,0.018573325,0.10062536,0.59422165,0.22989947,73.17556582716908,Poor,Low,Low,High
TANAUAN,Week 18,CNN-LSTM,0.29544088,0.5130802,0.18057321,0.4293682,0.019642495,0.08686727,0.5520209,0.2230498,73.17533984887922,Poor,Low,Low,High
TANAUAN,Week 19,CNN,0.31670752,0.4783005,0.18469813,0.4387066,0.01783291,0.11820061,0.59240174,0.19751234,73.17585450277295,Poor,Low,Low,High
TANAUAN,Week 19,LSTM,0.31082433,0.536594,0.18675084,0.4838702,0.018724104,0.10065002,0.5966191,0.22907728,73.17556623221256,Poor,Low,Low,High
TANAUAN,Week 19,CNN-LSTM,0.29813334,0.51420045,0.1804505,0.43057334,0.020102073,0.08693956,0.5531186,0.22179502,73.17534103625121,Poor,Low,Low,High
TANAUAN,Week 20,CNN,0.31966388,0.48833683,0.18906654,0.4348951,0.01310966,0.123565294,0.5893468,0.2001518,73.17594261835555,Poor,Low,Low,High
TANAUAN,Week 20,LSTM,0.31146264,0.5374987,0.18445659,0.4866652,0.019148927,0.09977071,0.5990556,0.22962084,73.17555178943961,Poor,Low,Low,High
TANAUAN,Week 20,CNN-LSTM,0.2987737,0.513338,0.1767364,0.42942157,0.019253591,0.08718557,0.5542478,0.22211988,73.17534507699517,Poor,Low,Low,High
TANAUAN,Week 21,CNN,0.32567242,0.49201638,0.19940169,0.43540373,0.0024562427,0.11796211,0.5981865,0.19529691,73.17585058538164,Poor,Low,Low,High
TANAUAN,Week 21,LSTM,0.31513047,0.5384106,0.18454166,0.48827246,0.019551033,0.099554315,0.59919846,0.22885725,73.1755482351256,Poor,Low,Low,High
TANAUAN,Week 21,CNN-LSTM,0.3037251,0.5142577,0.17585525,0.43178877,0.019800678,0.087898925,0.55435807,0.22152565,73.1753567939372,Poor,Low,Low,High
TANAUAN,Week 22,CNN,0.33730587,0.49493307,0.19544922,0.43978587,0.0071422546,0.11874175,0.5997117,0.19693172,73.1758633910628,Poor,Low,Low,High
TANAUAN,Week 22,LSTM,0.31987306,0.54059535,0.18565783,0.4897072,0.019215073,0.099182345,0.598288,0.22813088,73.17554212547343,Poor,Low,Low,High
TANAUAN,Week 22,CNN-LSTM,0.30559066,0.5137791,0.17477605,0.43217528,0.020129964,0.087305814,0.55487615,0.22166042,73.17534705201739,Poor,Low,Low,High
